Cuentas;Description;Estructura;NIVEL ;Naturaleza
12010406200;Valores Emitidos por instituciones financieras del exterior;Activo;Nivel 6;Deudora
12010406300;Valores Emitidos por instituciones financieras del exterior;Activo;Nivel 6;Deudora
12020000000;INVERSIONES DISPONIBLES PARA LA VENTA;Activo;Nivel 3;Deudora
12020100000;TITULOS DE DEUDA;Activo;Nivel 4;Deudora
12020101000;Valores del Banco Central de Nicaragua;Activo;Nivel 5;Deudora
12020101100;Valores del Banco Central de Nicaragua;Activo;Nivel 6;Deudora
12020101200;Valores del Banco Central de Nicaragua;Activo;Nivel 6;Deudora
12020101300;Valores del Banco Central de Nicaragua;Activo;Nivel 6;Deudora
12020102000;Valores del Gobierno Central;Activo;Nivel 5;Deudora
12020102100;Valores del Gobierno Central;Activo;Nivel 6;Deudora
12020102200;Valores del Gobierno Central;Activo;Nivel 6;Deudora
12020102300;Valores del Gobierno Central;Activo;Nivel 6;Deudora
12020103000;Valores de Otras instituciones Estatales No Financieras;Activo;Nivel 5;Deudora
12020103100;Valores de Otras instituciones Estatales No Financieras;Activo;Nivel 6;Deudora
12020103200;Valores de Otras instituciones Estatales No Financieras;Activo;Nivel 6;Deudora
12020103300;Valores de Otras instituciones Estatales No Financieras;Activo;Nivel 6;Deudora
12020104000;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 5;Deudora
12020104100;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 6;Deudora
12020104200;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 6;Deudora
12020104300;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 6;Deudora
12020105000;Valores emitidos por instituciones financieras del país;Activo;Nivel 5;Deudora
12020105100;Valores emitidos por instituciones financieras del país;Activo;Nivel 6;Deudora
12020105200;Valores emitidos por instituciones financieras del país;Activo;Nivel 6;Deudora
